dataset,color_profile,img_x,img_y,algorithm,train_size,train_time,test_size,test_time,precision,error,origin
cifar,color,32,32,SVM_poli,5000,35.17886114,10000,90.31404853,0.3877,0.6123,colab_1
cifar,color,32,32,decision_tree,5000,15.36995625,10000,0.057583332,0.2278,0.7722,colab_1
cifar,color,32,32,random_forest,5000,17.65015316,10000,0.455916882,0.398,0.602,colab_1
cifar,color,32,32,naive_bayes,5000,0.132609844,10000,1.9721632,0.2952,0.7048,colab_1
cifar,color,32,32,knn,5000,0.001538038,10000,9.468552113,0.259,0.741,colab_1
cifar,color,32,32,NN,5000,7.029839039,10000,1.62691927,0.100100003,0.899899997,colab_1
cifar,color,32,32,CNN,5000,12.63086772,10000,1.081519604,0.439200014,0.560799986,colab_1
cifar,gray,32,32,SVM_poli,5000,19.35519934,10000,26.3265965,0.2947,0.7053,colab_1
cifar,gray,32,32,decision_tree,5000,4.717848539,10000,0.02809763,0.1987,0.8013,colab_1
cifar,gray,32,32,random_forest,5000,10.5487504,10000,0.370954514,0.3466,0.6534,colab_1
cifar,gray,32,32,naive_bayes,5000,0.051909447,10000,0.667099237,0.2713,0.7287,colab_1
cifar,gray,32,32,knn,5000,0.004759312,10000,3.820507526,0.2192,0.7808,colab_1
cifar,gray,32,32,NN,5000,4.759881258,10000,1.48579073,0.100000001,0.899999999,colab_1
cifar,gray,32,32,CNN,5000,10.85535288,10000,1.500579596,0.397799999,0.602200001,colab_1
cifar,color,32,32,SVM_poli,10000,179.7073762,10000,180.1624596,0.4166,0.5834,colab_1
cifar,color,32,32,decision_tree,10000,30.31217051,10000,0.056374788,0.2457,0.7543,colab_1
cifar,color,32,32,random_forest,10000,36.69951868,10000,0.521744967,0.4226,0.5774,colab_1
cifar,color,32,32,naive_bayes,10000,0.28012538,10000,1.968120098,0.293,0.707,colab_1
cifar,color,32,32,knn,10000,0.001833677,10000,17.53987932,0.2785,0.7215,colab_1
cifar,color,32,32,NN,10000,10.70609808,10000,1.488170385,0.100000001,0.899999999,colab_1
cifar,color,32,32,CNN,10000,12.43355227,10000,1.605031252,0.507200003,0.492799997,colab_1
cifar,gray,32,32,SVM_poli,10000,72.07242131,10000,51.10982561,0.3242,0.6758,colab_1
cifar,gray,32,32,decision_tree,10000,9.773864985,10000,0.02223897,0.2107,0.7893,colab_1
cifar,gray,32,32,random_forest,10000,20.64707994,10000,0.572934866,0.3731,0.6269,colab_1
cifar,gray,32,32,naive_bayes,10000,0.089394569,10000,0.65124011,0.2708,0.7292,colab_1
cifar,gray,32,32,knn,10000,0.008037806,10000,7.066760063,0.2374,0.7626,colab_1
cifar,gray,32,32,NN,10000,8.70679903,10000,1.51387763,0.100100003,0.899899997,colab_1
cifar,gray,32,32,CNN,10000,11.43932748,10000,0.97248745,0.487500012,0.512499988,colab_1
cifar,color,32,32,SVM_poli,20000,765.9363401,10000,349.8564341,0.4578,0.5422,colab_1
cifar,color,32,32,decision_tree,20000,61.72232771,10000,0.055881977,0.2613,0.7387,colab_1
cifar,color,32,32,random_forest,20000,77.51009154,10000,0.58332324,0.438,0.562,colab_1
cifar,color,32,32,naive_bayes,20000,0.611369848,10000,1.924134016,0.2951,0.7049,colab_1
cifar,color,32,32,knn,20000,0.002454996,10000,35.87524772,0.299,0.701,colab_1
cifar,color,32,32,NN,20000,21.04239845,10000,1.481810093,0.100000001,0.899999999,colab_1
cifar,color,32,32,CNN,20000,41.53750944,10000,1.036569595,0.559300005,0.440699995,colab_1
cifar,gray,32,32,SVM_poli,20000,427.6754107,10000,123.4559696,0.3605,0.6395,colab_1
cifar,gray,32,32,decision_tree,20000,21.53645349,10000,0.0271945,0.2287,0.7713,colab_1
cifar,gray,32,32,random_forest,20000,45.54001713,10000,0.430341482,0.3878,0.6122,colab_1
cifar,gray,32,32,naive_bayes,20000,0.195699215,10000,0.646062374,0.2726,0.7274,colab_1
cifar,gray,32,32,knn,20000,0.016469479,10000,13.87991071,0.261,0.739,colab_1
cifar,gray,32,32,NN,20000,15.48771572,10000,0.877359152,0.100100003,0.899899997,colab_1
cifar,gray,32,32,CNN,20000,19.83054543,10000,1.059823275,0.540000021,0.459999979,colab_1
cifar,color,32,32,SVM_poli,30000,1768.065382,10000,509.1389501,0.4745,0.5255,colab_1
cifar,color,32,32,decision_tree,30000,99.38188195,10000,0.058331251,0.2653,0.7347,colab_1
cifar,color,32,32,random_forest,30000,120.2583916,10000,0.650305748,0.4523,0.5477,colab_1
cifar,color,32,32,naive_bayes,30000,0.888195038,10000,1.994946241,0.2968,0.7032,colab_1
cifar,color,32,32,knn,30000,0.002545357,10000,55.10732555,0.315,0.685,colab_1
cifar,color,32,32,NN,30000,41.60750604,10000,1.494641066,0.100000001,0.899999999,colab_1
cifar,color,32,32,CNN,30000,34.45300913,10000,1.495798349,0.587300003,0.412699997,colab_1
cifar,gray,32,32,SVM_poli,30000,1108.147494,10000,183.0617056,0.373,0.627,colab_1
cifar,gray,32,32,decision_tree,30000,33.59634376,10000,0.02348876,0.2253,0.7747,colab_1
cifar,gray,32,32,random_forest,30000,69.5540607,10000,0.46900177,0.4051,0.5949,colab_1
cifar,gray,32,32,naive_bayes,30000,0.300769091,10000,0.634382248,0.2732,0.7268,colab_1
cifar,gray,32,32,knn,30000,0.022773027,10000,19.87331104,0.2731,0.7269,colab_1
cifar,gray,32,32,NN,30000,24.7961247,10000,0.908775806,0.100000001,0.899999999,colab_1
cifar,gray,32,32,CNN,30000,33.49861622,10000,1.344903708,0.589699984,0.410300016,colab_1
cifar,color,32,32,SVM_poli,5000,36.70745492,10000,85.57300162,0.3877,0.6123,colab_2
cifar,color,32,32,decision_tree,5000,13.66445398,10000,0.056369781,0.2282,0.7718,colab_2
cifar,color,32,32,random_forest,5000,17.02161264,10000,0.448400497,0.3947,0.6053,colab_2
cifar,color,32,32,naive_bayes,5000,0.117232323,10000,1.391100168,0.2952,0.7048,colab_2
