"algorithm","train_size","color_profile","test_mean","test_sd"
"CNN",5000,"color",0.4239000022,0.0322880013689311
"CNN",5000,"gray",0.408319998,0.0332635956843218
"CNN",10000,"color",0.4840999962,0.0306850021068959
"CNN",10000,"gray",0.4725000024,0.02492258641875
"CNN",20000,"color",0.5510399938,0.0156416983307558
"CNN",20000,"gray",0.5526800036,0.0173293512481098
"CNN",30000,"color",0.5942600012,0.00843936073528821
"CNN",30000,"gray",0.5809999944,0.0136614267282118
"decision_tree",5000,"color",0.22704,0.00162880324164707
"decision_tree",5000,"gray",0.19868,0.000605805249234441
"decision_tree",10000,"color",0.2439,0.00210237960416286
"decision_tree",10000,"gray",0.21218,0.00322598822068524
"decision_tree",20000,"color",0.25348,0.00446116576692684
"decision_tree",20000,"gray",0.22354,0.00345731109389941
"decision_tree",30000,"color",0.26342,0.00226428796755183
"decision_tree",30000,"gray",0.2249,0.000790569415042092
"knn",5000,"color",0.259,0
"knn",5000,"gray",0.2192,0
"knn",10000,"color",0.2785,0
"knn",10000,"gray",0.2374,0
"knn",20000,"color",0.299,0
"knn",20000,"gray",0.261,0
"knn",30000,"color",0.315,0
"knn",30000,"gray",0.2731,0
"naive_bayes",5000,"color",0.2952,0
"naive_bayes",5000,"gray",0.2713,0
"naive_bayes",10000,"color",0.293,0
"naive_bayes",10000,"gray",0.2708,0
"naive_bayes",20000,"color",0.2951,0
"naive_bayes",20000,"gray",0.2726,0
"naive_bayes",30000,"color",0.2968,0
"naive_bayes",30000,"gray",0.2732,0
"NN",5000,"color",0.114560002,0.0325013543802409
"NN",5000,"gray",0.1146400002,0.0324010498113873
"NN",10000,"color",0.1146600004,0.0327807552085061
"NN",10000,"gray",0.16646,0.0424800306514722
"NN",20000,"color",0.100000001,0
"NN",20000,"gray",0.1000400004,0.000114016709322799
"NN",30000,"color",0.100000001,0
"NN",30000,"gray",0.105420002,0.0121194906741168
"random_forest",5000,"color",0.39628,0.00280659936578058
"random_forest",5000,"gray",0.35062,0.00378510237642259
"random_forest",10000,"color",0.4208,0.00316622803979752
"random_forest",10000,"gray",0.37222,0.000957601169589916
"random_forest",20000,"color",0.44082,0.00275626558952506
"random_forest",20000,"gray",0.39354,0.00424417247528892
"random_forest",30000,"color",0.45484,0.00257643164085524
"random_forest",30000,"gray",0.40758,0.00149231363995642
"SVM_poli",5000,"color",0.3877,0
"SVM_poli",5000,"gray",0.2947,0
"SVM_poli",10000,"color",0.4166,0
"SVM_poli",10000,"gray",0.3242,0
"SVM_poli",20000,"color",0.4578,0
"SVM_poli",20000,"gray",0.3605,0
"SVM_poli",30000,"color",0.4745,0
"SVM_poli",30000,"gray",0.373,0
