dataset,color_profile,img_x,img_y,algorithm,train_size,train_time,test_size,test_time,precision,error,origin
mnist,gray,28,28,SVM_poli,5000,2.293273926,10000,4.158738136,0.9421,0.0579,colab_1
mnist,gray,28,28,decision_tree,5000,1.186115503,10000,0.015185118,0.7778,0.2222,colab_1
mnist,gray,28,28,random_forest,5000,2.353270531,10000,0.281305075,0.9361,0.0639,colab_1
mnist,gray,28,28,naive_bayes,5000,0.041523457,10000,0.510322571,0.58,0.42,colab_1
mnist,gray,28,28,knn,5000,0.000886917,10000,3.845815182,0.9339,0.0661,colab_1
mnist,gray,28,28,NN,5000,4.02293992,10000,1.007719517,0.8477,0.1523,colab_1
mnist,gray,28,28,CNN,5000,45.79224944,10000,3.885636568,0.94630003,0.05369997,colab_1
mnist,gray,28,28,SVM_poli,10000,5.912985802,10000,6.915350437,0.9573,0.0427,colab_1
mnist,gray,28,28,decision_tree,10000,2.028508663,10000,0.0235641,0.8052,0.1948,colab_1
mnist,gray,28,28,random_forest,10000,5.696921825,10000,0.274665356,0.95,0.05,colab_1
mnist,gray,28,28,naive_bayes,10000,0.066988468,10000,0.492908955,0.5738,0.4262,colab_1
mnist,gray,28,28,knn,10000,0.001212597,10000,6.005239248,0.9463,0.0537,colab_1
mnist,gray,28,28,NN,10000,10.62627435,10000,0.777390242,0.896700025,0.103299975,colab_1
mnist,gray,28,28,CNN,10000,87.93054914,10000,2.71872592,0.975499988,0.024500012,colab_1
mnist,gray,28,28,SVM_poli,20000,20.63378954,10000,10.49831653,0.9675,0.0325,colab_1
mnist,gray,28,28,decision_tree,20000,4.818186045,10000,0.019586563,0.8379,0.1621,colab_1
mnist,gray,28,28,random_forest,20000,11.74335051,10000,0.314696074,0.9588,0.0412,colab_1
mnist,gray,28,28,naive_bayes,20000,0.134713173,10000,0.49006319,0.5517,0.4483,colab_1
mnist,gray,28,28,knn,20000,0.002086401,10000,12.99447942,0.956,0.044,colab_1
mnist,gray,28,28,NN,20000,14.40947413,10000,0.778879881,0.887600005,0.112399995,colab_1
mnist,gray,28,28,CNN,20000,175.6437569,10000,3.802809,0.976700008,0.023299992,colab_1
mnist,gray,28,28,SVM_poli,30000,51.71357942,10000,17.22083426,0.9735,0.0265,colab_1
mnist,gray,28,28,decision_tree,30000,9.01033473,10000,0.020685911,0.8521,0.1479,colab_1
mnist,gray,28,28,random_forest,30000,19.35984731,10000,0.32478261,0.9645,0.0355,colab_1
mnist,gray,28,28,naive_bayes,30000,0.21845603,10000,0.597365618,0.5475,0.4525,colab_1
mnist,gray,28,28,knn,30000,0.002869368,10000,18.57362962,0.9624,0.0376,colab_1
mnist,gray,28,28,NN,30000,41.35143948,10000,0.772586346,0.90990001,0.09009999,colab_1
mnist,gray,28,28,CNN,30000,270.6296616,10000,3.795502186,0.982900023,0.017099977,colab_1
mnist,gray,28,28,SVM_poli,5000,2.08176446,10000,5.094501257,0.9421,0.0579,colab_2
mnist,gray,28,28,decision_tree,5000,0.682709217,10000,0.012554407,0.7727,0.2273,colab_2
mnist,gray,28,28,random_forest,5000,1.905807257,10000,0.250369072,0.9358,0.0642,colab_2
mnist,gray,28,28,naive_bayes,5000,0.052510738,10000,0.35395503,0.58,0.42,colab_2
mnist,gray,28,28,knn,5000,0.000720739,10000,2.779414415,0.9339,0.0661,colab_2
mnist,gray,28,28,NN,5000,5.458236694,10000,1.398868799,0.844200015,0.155799985,colab_2
mnist,gray,28,28,CNN,5000,6.30567193,10000,1.406562805,0.95539999,0.04460001,colab_2
mnist,gray,28,28,SVM_poli,10000,5.879995108,10000,7.419194221,0.9573,0.0427,colab_2
mnist,gray,28,28,decision_tree,10000,1.831793785,10000,0.014868021,0.8056,0.1944,colab_2
mnist,gray,28,28,random_forest,10000,5.265671968,10000,0.265523911,0.9482,0.0518,colab_2
mnist,gray,28,28,naive_bayes,10000,0.063667059,10000,0.332962513,0.5738,0.4262,colab_2
mnist,gray,28,28,knn,10000,0.001062393,10000,5.134133101,0.9463,0.0537,colab_2
mnist,gray,28,28,NN,10000,10.59867477,10000,1.407793283,0.89289999,0.10710001,colab_2
mnist,gray,28,28,CNN,10000,12.17325306,10000,1.421043873,0.972500026,0.027499974,colab_2
mnist,gray,28,28,SVM_poli,20000,19.93224359,10000,11.40941191,0.9675,0.0325,colab_2
mnist,gray,28,28,decision_tree,20000,3.97648263,10000,0.013066053,0.8385,0.1615,colab_2
mnist,gray,28,28,random_forest,20000,9.489489079,10000,0.265813351,0.959,0.041,colab_2
mnist,gray,28,28,naive_bayes,20000,0.116558313,10000,0.333902836,0.5517,0.4483,colab_2
mnist,gray,28,28,knn,20000,0.001608133,10000,10.12095618,0.956,0.044,colab_2
mnist,gray,28,28,NN,20000,15.50733232,10000,1.402406931,0.930100024,0.069899976,colab_2
mnist,gray,28,28,CNN,20000,20.88053179,10000,1.406023502,0.980300009,0.019699991,colab_2
mnist,gray,28,28,SVM_poli,30000,48.34071541,10000,15.94809985,0.9735,0.0265,colab_2
mnist,gray,28,28,decision_tree,30000,6.629470587,10000,0.013136625,0.8527,0.1473,colab_2
mnist,gray,28,28,random_forest,30000,15.34718442,10000,0.296153545,0.9631,0.0369,colab_2
mnist,gray,28,28,naive_bayes,30000,0.182538748,10000,0.333773136,0.5475,0.4525,colab_2
mnist,gray,28,28,knn,30000,0.002426386,10000,15.37281346,0.9624,0.0376,colab_2
mnist,gray,28,28,NN,30000,25.83757782,10000,0.843628407,0.917100012,0.082899988,colab_2
mnist,gray,28,28,CNN,30000,41.36124134,10000,0.975216627,0.984499991,0.015500009,colab_2
mnist,gray,28,28,SVM_poli,5000,1.014997244,10000,2.2029984,0.9421,0.0579,local_1
mnist,gray,28,28,decision_tree,5000,0.619999886,10000,0.013000011,0.7812,0.2188,local_1
mnist,gray,28,28,random_forest,5000,1.698998928,10000,0.203999519,0.9398,0.0602,local_1
mnist,gray,28,28,naive_bayes,5000,0.033000469,10000,0.488000154,0.58,0.42,local_1
mnist,gray,28,28,knn,5000,0,10000,0.921998501,0.9339,0.0661,local_1
mnist,gray,28,28,NN,5000,1.56099844,10000,0.269999981,0.85589999,0.14410001,local_1
mnist,gray,28,28,CNN,5000,11.43798947,10000,0.933998823,0.953100026,0.046899974,local_1
mnist,gray,28,28,SVM_poli,10000,3.880999327,10000,4.26899457,0.9573,0.0427,local_1
mnist,gray,28,28,decision_tree,10000,1.431995869,10000,0.015999794,0.8066,0.1934,local_1
mnist,gray,28,28,random_forest,10000,3.472996712,10000,0.221999645,0.9487,0.0513,local_1
mnist,gray,28,28,naive_bayes,10000,0.073000431,10000,0.498999596,0.5738,0.4262,local_1
mnist,gray,28,28,knn,10000,0,10000,1.783999205,0.9463,0.0537,local_1
mnist,gray,28,28,NN,10000,2.61200285,10000,0.445998192,0.892499983,0.107500017,local_1
mnist,gray,28,28,CNN,10000,21.82198024,10000,0.9339993,0.963,0.037,local_1
mnist,gray,28,28,SVM_poli,20000,15.76698565,10000,8.479001045,0.9675,0.0325,local_1
mnist,gray,28,28,decision_tree,20000,3.342996597,10000,0.013989925,0.843,0.157,local_1
mnist,gray,28,28,random_forest,20000,7.66199398,10000,0.240000248,0.9588,0.0412,local_1
mnist,gray,28,28,naive_bayes,20000,0.135998726,10000,0.491999626,0.5517,0.4483,local_1
mnist,gray,28,28,knn,20000,0.001000404,10000,3.33399725,0.956,0.044,local_1
mnist,gray,28,28,NN,20000,4.899995804,10000,0.264999151,0.913800001,0.086199999,local_1
mnist,gray,28,28,CNN,20000,43.59296131,10000,0.92399931,0.983799994,0.016200006,local_1
mnist,gray,28,28,SVM_poli,30000,31.20697236,10000,11.82798862,0.9735,0.0265,local_1
mnist,gray,28,28,decision_tree,30000,5.670997143,10000,0.013999939,0.8499,0.1501,local_1
mnist,gray,28,28,random_forest,30000,12.28298259,10000,0.246008158,0.9628,0.0372,local_1
mnist,gray,28,28,naive_bayes,30000,0.198001385,10000,0.499999285,0.5475,0.4525,local_1
mnist,gray,28,28,knn,30000,0.002003193,10000,4.867994547,0.9624,0.0376,local_1
mnist,gray,28,28,NN,30000,6.960994005,10000,0.273000717,0.947000027,0.052999973,local_1
