"algorithm","train_size","color_profile","test_mean","test_sd"
"CNN",5000,"gray",0.948460007,0.0146616208176446
"CNN",10000,"gray",0.9712800028,0.00488026235365066
"CNN",20000,"gray",0.9805999994,0.00276313978116376
"CNN",30000,"gray",0.9827600122,0.00111263993295167
"decision_tree",5000,"gray",0.77762,0.00341130473572794
"decision_tree",10000,"gray",0.80592,0.000641872261435237
"decision_tree",20000,"gray",0.83892,0.00299699849849813
"decision_tree",30000,"gray",0.85128,0.00111892805845595
"knn",5000,"gray",0.9339,0
"knn",10000,"gray",0.9463,0
"knn",20000,"gray",0.956,0
"knn",30000,"gray",0.9624,0
"naive_bayes",5000,"gray",0.58,0
"naive_bayes",10000,"gray",0.5738,0
"naive_bayes",20000,"gray",0.5517,0
"naive_bayes",30000,"gray",0.5475,0
"NN",5000,"gray",0.8469800116,0.00596966009754864
"NN",10000,"gray",0.894080007,0.00305811838397543
"NN",20000,"gray",0.9149200084,0.0164574330601775
"NN",30000,"gray",0.925120008,0.0139602006074572
"random_forest",5000,"gray",0.93688,0.00180748443976703
"random_forest",10000,"gray",0.94982,0.00145499140890933
"random_forest",20000,"gray",0.95888,0.000164316767251532
"random_forest",30000,"gray",0.96334,0.000665582451691773
"SVM_poli",5000,"gray",0.9421,0
"SVM_poli",10000,"gray",0.9573,0
"SVM_poli",20000,"gray",0.9675,0
"SVM_poli",30000,"gray",0.9735,0
