"algorithm","train_size","color_profile","origin","train_time_mean","test_time_mean","test_sd"
"CNN",5000,"gray","colab",26.048960685,2.6460996865,27.9212267231692
"CNN",5000,"gray","local",11.0085428533333,0.857747395666667,0.509442629275767
"CNN",10000,"gray","colab",50.0519011,2.0698848965,53.568497782525
"CNN",10000,"gray","local",20.8158595566667,0.885714769333333,0.970014455878158
"CNN",20000,"gray","colab",98.262144345,2.604416251,109.434125953581
"CNN",20000,"gray","local",41.60018754,0.864295005666667,1.89387528258964
"CNN",30000,"gray","colab",155.99545147,2.3853594065,162.117254677773
"CNN",30000,"gray","local",61.4452114133333,0.869598706333333,1.98686162238167
"decision_tree",5000,"gray","colab",0.93441236,0.0138697625,0.355961998522535
"decision_tree",5000,"gray","local",0.584734758,0.0169881976666667,0.0422615061110667
"decision_tree",10000,"gray","colab",1.930151224,0.0192160605,0.139098424194085
"decision_tree",10000,"gray","local",1.43857502966667,0.0147123336666667,0.0885741569367139
"decision_tree",20000,"gray","colab",4.3973343375,0.016326308,0.595174192494375
"decision_tree",20000,"gray","local",3.43455147733333,0.014921824,0.241352351353046
"decision_tree",30000,"gray","colab",7.8199026585,0.016911268,1.6835251805992
"decision_tree",30000,"gray","local",5.77247611666667,0.0142498016666667,0.386737949598303
"knn",5000,"gray","colab",0.000803828,3.3126147985,0.000117505590684018
"knn",5000,"gray","local",0,0.919599692,0
"knn",10000,"gray","colab",0.001137495,5.5696861745,0.000106210266961344
"knn",10000,"gray","local",0.000333309333333333,1.70310274766667,0.000577308699970244
"knn",20000,"gray","colab",0.001847267,11.5577178,0.000338186546024528
"knn",20000,"gray","local",0.001332601,3.23989621833333,0.000578688245169193
"knn",30000,"gray","colab",0.002647877,16.97322154,0.000313235576143579
"knn",30000,"gray","local",0.001674493,4.94653749466667,0.000587379763665723
"naive_bayes",5000,"gray","colab",0.0470170975,0.4321388005,0.00776918090190211
"naive_bayes",5000,"gray","local",0.0320122243333333,0.486308733333333,0.000934074292602216
"naive_bayes",10000,"gray","colab",0.0653277635,0.412935734,0.00234859082699403
"naive_bayes",10000,"gray","local",0.0652589003333333,0.476014058,0.00671662416208964
"naive_bayes",20000,"gray","colab",0.125635743,0.411983013,0.0128374246174924
"naive_bayes",20000,"gray","local",0.129261652666667,0.477794965,0.00623173983943788
"naive_bayes",30000,"gray","colab",0.200497389,0.465569377,0.0253973536639895
"naive_bayes",30000,"gray","local",0.195945501333333,0.478859981,0.00434620358254102
"NN",5000,"gray","colab",4.740588307,1.203294158,1.01490808191058
"NN",5000,"gray","local",1.52488851533333,0.274825175666667,0.175987984349454
"NN",10000,"gray","colab",10.61247456,1.0925917625,0.0195158501758996
"NN",10000,"gray","local",2.57060392733333,0.325104713333333,0.330014972547248
"NN",20000,"gray","colab",14.958403225,1.090643406,0.776302970930189
"NN",20000,"gray","local",4.79483517,0.262768745333333,0.515842645184377
"NN",30000,"gray","colab",33.59450865,0.8081073765,10.969956782176
"NN",30000,"gray","local",6.97468225133333,0.268353144333333,0.764638290571896
"random_forest",5000,"gray","colab",2.129538894,0.2658370735,0.316404315377334
"random_forest",5000,"gray","local",1.56974585833333,0.193563222666667,0.11198378939355
"random_forest",10000,"gray","colab",5.4812968965,0.2700946335,0.304939698270429
"random_forest",10000,"gray","local",3.34679023433333,0.20780166,0.114575325041766
"random_forest",20000,"gray","colab",10.6164197945,0.2902547125,1.59372070171492
"random_forest",20000,"gray","local",7.538738966,0.229240497,0.117832183878252
"random_forest",30000,"gray","colab",17.353515865,0.3104680775,2.83738114013461
"random_forest",30000,"gray","local",12.3353039433333,0.250076294,0.771198398816741
"SVM_poli",5000,"gray","colab",2.187519193,4.6266196965,0.149559777693745
"SVM_poli",5000,"gray","local",0.99186333,2.14563473066667,0.0779415279010228
"SVM_poli",10000,"gray","colab",5.896490455,7.167272329,0.02332794344345
"SVM_poli",10000,"gray","local",3.93629296633333,4.37732243566667,0.552511817366606
"SVM_poli",20000,"gray","colab",20.283016565,10.95386422,0.496067898558958
"SVM_poli",20000,"gray","local",16.2672161266667,8.577134609,2.04601577133753
"SVM_poli",30000,"gray","colab",50.027147415,16.584467055,2.38497501349105
"SVM_poli",30000,"gray","local",32.3888359866667,12.4595046833333,3.71228804055025
